0	 
1	!
2	#
3	$
4	%
5	&
6	'
7	(
8	+
9	,
10	-
11	.
12	/
13	0
14	1
15	2
16	3
17	4
18	5
19	6
20	7
21	8
22	9
23	:
24	?
25	@
26	A
27	B
28	C
29	D
30	E
31	F
32	G
33	H
34	I
35	J
36	K
37	L
38	M
39	N
40	O
41	P
42	Q
43	R
44	S
45	T
46	U
47	V
48	W
49	X
50	Y
51	Z
52	_
53	a
54	b
55	c
56	d
57	e
58	f
59	g
60	h
61	i
62	j
63	k
64	l
65	m
66	n
67	o
68	p
69	q
70	r
71	s
72	t
73	u
74	v
75	w
76	x
77	y
78	z
79	É
80	é
81	ء
82	آ
83	أ
84	ؤ
85	إ
86	ئ
87	ا
88	ب
89	ة
90	ت
91	ث
92	ج
93	ح
94	خ
95	د
96	ذ
97	ر
98	ز
99	س
100	ش
101	ص
102	ض
103	ط
104	ظ
105	ع
106	غ
107	ف
108	ق
109	ك
110	ل
111	م
112	ن
113	ه
114	و
115	ى
116	ي
